Date,puzzle_number,word,Vowel_Count,Consonant_Count,Repeated_Letters,First_Letter
1/27/2022,222,MOUNT,2,3,No,M
1/28/2022,223,PERKY,1,4,No,P
1/29/2022,224,COULD,2,3,No,C
1/30/2022,225,WRUNG,1,4,No,W
1/31/2022,226,LIGHT,1,4,No,L
2/1/2022,227,THOSE,2,3,No,T
2/2/2022,228,MOIST,2,3,No,M
2/3/2022,229,SHARD,1,4,No,S
2/4/2022,230,PLEAT,2,3,No,P
2/5/2022,231,ALOFT,2,3,No,A
2/6/2022,232,SKILL,1,4,Yes,S
2/7/2022,233,ELDER,2,3,Yes,E
2/8/2022,234,FRAME,2,3,No,F
2/9/2022,235,HUMOR,2,3,No,H
2/10/2022,236,PAUSE,3,2,No,P
2/11/2022,237,ULCER,2,3,No,U
2/12/2022,238,ULTRA,2,3,No,U
2/13/2022,239,ROBIN,2,3,No,R
2/14/2022,240,CYNIC,1,4,Yes,C
2/15/2022,241,AROMA,3,2,Yes,A
2/16/2022,242,CAULK,2,3,No,C
2/17/2022,243,SHAKE,2,3,No,S
2/18/2022,244,DODGE,2,3,Yes,D
2/19/2022,245,SWILL,1,4,Yes,S
2/20/2022,246,TACIT,2,3,Yes,T
2/21/2022,247,OTHER,2,3,No,O
2/22/2022,248,THORN,1,4,No,T
2/23/2022,249,TROVE,2,3,No,T
2/24/2022,250,BLOKE,2,3,No,B
2/25/2022,251,VIVID,2,3,Yes,V
2/26/2022,252,SPILL,1,4,Yes,S
2/27/2022,253,CHANT,1,4,No,C
2/28/2022,254,CHOKE,2,3,No,C
3/1/2022,255,RUPEE,3,2,Yes,R
3/2/2022,256,NASTY,1,4,No,N
3/3/2022,257,MOURN,2,3,No,M
3/4/2022,258,AHEAD,3,2,Yes,A
3/5/2022,259,BRINE,2,3,No,B
3/6/2022,260,CLOTH,1,4,No,C
3/7/2022,261,HOARD,2,3,No,H
3/8/2022,262,SWEET,2,3,Yes,S
3/9/2022,263,MONTH,1,4,No,M
3/10/2022,264,LAPSE,2,3,No,L
3/11/2022,265,WATCH,1,4,No,W
3/12/2022,266,TODAY,2,3,No,T
3/13/2022,267,FOCUS,2,3,No,F
3/14/2022,268,SMELT,1,4,No,S
3/15/2022,269,TEASE,3,2,Yes,T
3/16/2022,270,CATER,2,3,No,C
3/17/2022,271,MOVIE,3,2,No,M
3/18/2022,272,SAUTE,3,2,No,S
3/19/2022,273,ALLOW,2,3,Yes,A
3/20/2022,274,RENEW,2,3,Yes,R
3/21/2022,275,THEIR,2,3,No,T
3/22/2022,276,SLOSH,1,4,Yes,S
3/23/2022,277,PURGE,2,3,No,P
3/24/2022,278,CHEST,1,4,No,C
3/25/2022,279,DEPOT,2,3,No,D
3/26/2022,280,EPOXY,2,3,No,E
3/27/2022,281,NYMPH,0,5,No,N
3/28/2022,282,FOUND,2,3,No,F
3/29/2022,283,SHALL,1,4,Yes,S
3/30/2022,284,STOVE,2,3,No,S
3/31/2022,285,LOWLY,1,4,Yes,L
4/1/2022,286,SNOUT,2,3,No,S
4/2/2022,287,TROPE,2,3,No,T
4/3/2022,288,FEWER,2,3,Yes,F
4/4/2022,289,SHAWL,1,4,No,S
4/5/2022,290,NATAL,2,3,Yes,N
4/6/2022,291,COMMA,2,3,Yes,C
4/7/2022,292,FORAY,2,3,No,F
4/8/2022,293,SCARE,2,3,No,S
4/9/2022,294,STAIR,2,3,No,S
4/10/2022,295,BLACK,1,4,No,B
4/11/2022,296,SQUAD,2,3,No,S
4/12/2022,297,ROYAL,2,3,No,R
4/13/2022,298,CHUNK,1,4,No,C
4/14/2022,299,MINCE,2,3,No,M
4/15/2022,300,SHAME,2,3,No,S
4/16/2022,301,CHEEK,2,3,Yes,C
4/17/2022,302,AMPLE,2,3,No,A
4/18/2022,303,FLAIR,2,3,No,F
4/19/2022,304,FOYER,2,3,No,F
4/20/2022,305,CARGO,2,3,No,C
4/21/2022,306,OXIDE,3,2,No,O
4/22/2022,307,PLANT,1,4,No,P
4/23/2022,308,OLIVE,3,2,No,O
4/24/2022,309,INERT,2,3,No,I
4/25/2022,310,ASKEW,2,3,No,A
4/26/2022,311,HEIST,2,3,No,H
4/27/2022,312,SHOWN,1,4,No,S
4/28/2022,313,ZESTY,1,4,No,Z
4/29/2022,314,TRASH,1,4,No,T
4/30/2022,315,LARVA,2,3,Yes,L
5/1/2022,316,FORGO,2,3,Yes,F
5/2/2022,317,STORY,1,4,No,S
5/3/2022,318,HAIRY,2,3,No,H
5/4/2022,319,TRAIN,2,3,No,T
5/5/2022,320,HOMER,2,3,No,H
5/6/2022,321,BADGE,2,3,No,B
5/7/2022,322,MIDST,1,4,No,M
5/8/2022,323,CANNY,1,4,Yes,C
5/9/2022,324,SHINE,2,3,No,S
5/10/2022,325,GECKO,2,3,No,G
5/11/2022,326,FARCE,2,3,No,F
5/12/2022,327,SLUNG,1,4,No,S
5/13/2022,328,TIPSY,1,4,No,T
5/14/2022,329,METAL,2,3,No,M
5/15/2022,330,YIELD,2,3,No,Y
5/16/2022,331,DELVE,2,3,Yes,D
5/17/2022,332,BEING,2,3,No,B
5/18/2022,333,SCOUR,2,3,No,S
5/19/2022,334,GLASS,1,4,Yes,G
5/20/2022,335,GAMER,2,3,No,G
5/21/2022,336,SCRAP,1,4,No,S
5/22/2022,337,MONEY,2,3,No,M
5/23/2022,338,HINGE,2,3,No,H
5/24/2022,339,ALBUM,2,3,No,A
5/25/2022,340,VOUCH,2,3,No,V
5/26/2022,341,ASSET,2,3,Yes,A
5/27/2022,342,TIARA,3,2,Yes,T
5/28/2022,343,CREPT,1,4,No,C
5/29/2022,344,BAYOU,3,2,No,B
5/30/2022,345,ATOLL,2,3,Yes,A
5/31/2022,346,MANOR,2,3,No,M
6/1/2022,347,CREAK,2,3,No,C
6/2/2022,348,SHOWY,1,4,No,S
6/3/2022,349,PHASE,2,3,No,P
6/4/2022,350,FROTH,1,4,No,F
6/5/2022,351,DEPTH,1,4,No,D
6/6/2022,352,GLOOM,2,3,Yes,G
6/7/2022,353,FLOOD,2,3,Yes,F
6/8/2022,354,TRAIT,2,3,Yes,T
6/9/2022,355,GIRTH,1,4,No,G
6/10/2022,356,PIETY,2,3,No,P
6/11/2022,357,GOOSE,3,2,Yes,G
6/12/2022,358,FLOAT,2,3,No,F
6/13/2022,359,DONOR,2,3,Yes,D
6/14/2022,360,ATONE,3,2,No,A
6/15/2022,361,PRIMO,2,3,No,P
6/16/2022,362,APRON,2,3,No,A
6/17/2022,363,BLOWN,1,4,No,B
6/18/2022,364,CACAO,3,2,Yes,C
6/19/2022,365,LOSER,2,3,No,L
6/20/2022,366,INPUT,2,3,No,I
6/21/2022,367,GLOAT,2,3,No,G
6/22/2022,368,AWFUL,2,3,No,A
6/23/2022,369,BRINK,1,4,No,B
6/24/2022,370,SMITE,2,3,No,S
6/25/2022,371,BEADY,2,3,No,B
6/26/2022,372,RUSTY,1,4,No,R
6/27/2022,373,RETRO,2,3,Yes,R
6/28/2022,374,DROLL,1,4,Yes,D
6/29/2022,375,GAWKY,1,4,No,G
6/30/2022,376,HUTCH,1,4,Yes,H
7/1/2022,377,PINTO,2,3,No,P
7/2/2022,378,EGRET,2,3,Yes,E
7/3/2022,379,LILAC,2,3,Yes,L
7/4/2022,380,SEVER,2,3,Yes,S
7/5/2022,381,FIELD,2,3,No,F
7/6/2022,382,FLUFF,1,4,Yes,F
7/7/2022,383,AGAPE,3,2,Yes,A
7/8/2022,384,VOICE,3,2,No,V
7/9/2022,385,STEAD,2,3,No,S
7/10/2022,386,BERTH,1,4,No,B
7/11/2022,387,MADAM,2,3,Yes,M
7/12/2022,388,NIGHT,1,4,No,N
7/13/2022,389,BLAND,1,4,No,B
7/14/2022,390,LIVER,2,3,No,L
7/15/2022,391,WEDGE,2,3,Yes,W
7/16/2022,392,ROOMY,2,3,Yes,R
7/17/2022,393,WACKY,1,4,No,W
7/18/2022,394,FLOCK,1,4,No,F
7/19/2022,395,ANGRY,1,4,No,A
7/20/2022,396,TRITE,2,3,Yes,T
7/21/2022,397,APHID,2,3,No,A
7/22/2022,398,TRYST,0,5,Yes,T
7/23/2022,399,MIDGE,2,3,No,M
7/24/2022,400,POWER,2,3,No,P
7/25/2022,401,ELOPE,3,2,Yes,E
7/26/2022,402,CINCH,1,4,Yes,C
7/27/2022,403,MOTTO,2,3,Yes,M
7/28/2022,404,STOMP,1,4,No,S
7/29/2022,405,UPSET,2,3,No,U
7/30/2022,406,BLUFF,1,4,Yes,B
7/31/2022,407,CRAMP,1,4,No,C
8/1/2022,408,QUART,2,3,No,Q
8/2/2022,409,COYLY,1,4,Yes,C
8/3/2022,410,YOUTH,2,3,No,Y
8/4/2022,411,RHYME,1,4,No,R
8/5/2022,412,BUGGY,1,4,Yes,B
8/6/2022,413,ALIEN,3,2,No,A
8/7/2022,414,SMEAR,2,3,No,S
8/8/2022,415,UNFIT,2,3,No,U
8/9/2022,416,PATTY,1,4,Yes,P
8/10/2022,417,CLING,1,4,No,C
8/11/2022,418,GLEAN,2,3,No,G
8/12/2022,419,LABEL,2,3,Yes,L
8/13/2022,420,HUNKY,1,4,No,H
8/14/2022,421,KHAKI,2,3,Yes,K
8/15/2022,422,POKER,2,3,No,P
8/16/2022,423,GRUEL,2,3,No,G
8/17/2022,424,TWICE,2,3,No,T
8/18/2022,425,TWANG,1,4,No,T
8/19/2022,426,SHRUG,1,4,No,S
8/20/2022,427,TREAT,2,3,Yes,T
8/21/2022,428,WASTE,2,3,No,W
8/22/2022,429,MERIT,2,3,No,M
8/23/2022,430,WOVEN,2,3,No,W
8/24/2022,431,NEEDY,2,3,Yes,N
8/25/2022,432,CLOWN,1,4,No,C
8/26/2022,433,IRONY,2,3,No,I
8/27/2022,434,RUDER,2,3,Yes,R
8/28/2022,435,GAUZE,3,2,No,G
8/29/2022,436,CHIEF,2,3,No,C
8/30/2022,437,ONSET,2,3,No,O
8/31/2022,438,PRIZE,2,3,No,P
9/1/2022,439,FUNGI,2,3,No,F
9/2/2022,440,CHARM,1,4,No,C
9/3/2022,441,GULLY,1,4,Yes,G
9/4/2022,442,INTER,2,3,No,I
9/5/2022,443,WHOOP,2,3,Yes,W
9/6/2022,444,TAUNT,2,3,Yes,T
9/7/2022,445,LEERY,2,3,Yes,L
9/8/2022,446,CLASS,1,4,Yes,C
9/9/2022,447,THEME,2,3,Yes,T
9/10/2022,448,LOFTY,1,4,No,L
9/11/2022,449,TIBIA,3,2,Yes,T
9/12/2022,450,BOOZE,3,2,Yes,B
9/13/2022,451,ALPHA,2,3,Yes,A
9/14/2022,452,THYME,1,4,No,T
9/15/2022,453,DOUBT,2,3,No,D
9/16/2022,454,PARER,2,3,Yes,P
9/17/2022,455,CHUTE,2,3,No,C
9/18/2022,456,STICK,1,4,No,S
9/19/2022,457,TRICE,2,3,No,T
9/20/2022,458,ALIKE,3,2,No,A
9/21/2022,459,RECAP,2,3,No,R
9/22/2022,460,SAINT,2,3,No,S
9/23/2022,461,GLORY,1,4,No,G
9/24/2022,462,GRATE,2,3,No,G
9/25/2022,463,ADMIT,2,3,No,A
9/26/2022,464,BRISK,1,4,No,B
9/27/2022,465,SOGGY,1,4,Yes,S
9/28/2022,466,USURP,2,3,Yes,U
9/29/2022,467,SCALD,1,4,No,S
9/30/2022,468,SCORN,1,4,No,S
10/1/2022,469,LEAVE,3,2,Yes,L
10/2/2022,470,TWINE,2,3,No,T
10/3/2022,471,STING,1,4,No,S
10/4/2022,472,BOUGH,2,3,No,B
10/5/2022,473,MARSH,1,4,No,M
10/6/2022,474,SLOTH,1,4,No,S
10/7/2022,475,DANDY,1,4,Yes,D
10/8/2022,476,VIGOR,2,3,No,V
10/9/2022,477,HOWDY,1,4,No,H
10/10/2022,478,ENJOY,2,3,No,E
10/11/2022,479,VALID,2,3,No,V
10/12/2022,480,IONIC,3,2,Yes,I
10/13/2022,481,EQUAL,3,2,No,E
10/14/2022,482,FLOOR,2,3,Yes,F
10/15/2022,483,CATCH,1,4,Yes,C
10/16/2022,484,SPADE,2,3,No,S
10/17/2022,485,STEIN,2,3,No,S
10/18/2022,486,EXIST,2,3,No,E
10/19/2022,487,QUIRK,2,3,No,Q
10/20/2022,488,DENIM,2,3,No,D
10/21/2022,489,GROVE,2,3,No,G
10/22/2022,490,SPIEL,2,3,No,S
10/23/2022,491,MUMMY,1,4,Yes,M
10/24/2022,492,FAULT,2,3,No,F
10/25/2022,493,FOGGY,1,4,Yes,F
10/26/2022,494,FLOUT,2,3,No,F
10/27/2022,495,CARRY,1,4,Yes,C
10/28/2022,496,SNEAK,2,3,No,S
10/29/2022,497,LIBEL,2,3,Yes,L
10/30/2022,498,WALTZ,1,4,No,W
10/31/2022,499,APTLY,1,4,No,A
11/1/2022,500,PINEY,2,3,No,P
11/2/2022,501,INEPT,2,3,No,I
11/3/2022,502,ALOUD,3,2,No,A
11/4/2022,503,PHOTO,2,3,Yes,P
11/5/2022,504,DREAM,2,3,No,D
11/6/2022,505,STALE,2,3,No,S
11/7/2022,506,BEGIN,2,3,No,B
11/8/2022,507,SPELL,1,4,Yes,S
11/9/2022,508,RAINY,2,3,No,R
11/10/2022,509,UNITE,3,2,No,U
11/11/2022,510,MEDAL,2,3,No,M
11/12/2022,511,VALET,2,3,No,V
11/13/2022,512,INANE,3,2,Yes,I
11/14/2022,513,MAPLE,2,3,No,M
11/15/2022,514,SNARL,1,4,No,S
11/16/2022,515,BAKER,2,3,No,B
11/17/2022,516,THERE,2,3,Yes,T
11/18/2022,517,GLYPH,0,5,No,G
11/19/2022,518,AVERT,2,3,No,A
11/20/2022,519,BRAVE,2,3,No,B
11/21/2022,520,AXIOM,3,2,No,A
11/22/2022,521,PRIME,2,3,No,P
11/23/2022,522,DRIVE,2,3,No,D
11/24/2022,523,FEAST,2,3,No,F
11/25/2022,524,ITCHY,1,4,No,I
11/26/2022,525,CLEAN,2,3,No,C
11/27/2022,526,HAPPY,1,4,Yes,H
11/28/2022,527,TEPID,2,3,No,T
11/29/2022,528,UNDUE,3,2,Yes,U
11/30/2022,529,STUDY,1,4,No,S
12/1/2022,530,EJECT,2,3,Yes,E
12/2/2022,531,CHAFE,2,3,No,C
12/3/2022,532,TORSO,2,3,Yes,T
12/4/2022,533,ADORE,3,2,No,A
12/5/2022,534,WOKEN,2,3,No,W
12/6/2022,535,AMBER,2,3,No,A
12/7/2022,536,JOUST,2,3,No,J
12/8/2022,537,INFER,2,3,No,I
12/9/2022,538,BRAID,2,3,No,B
12/10/2022,539,KNOCK,1,4,Yes,K
12/11/2022,540,NAIVE,3,2,No,N
12/12/2022,541,APPLY,1,4,Yes,A
12/13/2022,542,SPOKE,2,3,No,S
12/14/2022,543,USUAL,3,2,Yes,U
12/15/2022,544,RIVAL,2,3,No,R
12/16/2022,545,PROBE,2,3,No,P
12/17/2022,546,CHORD,1,4,No,C
12/18/2022,547,TAPER,2,3,No,T
12/19/2022,548,SLATE,2,3,No,S
12/20/2022,549,THIRD,1,4,No,T
12/21/2022,550,LUNAR,2,3,No,L
12/22/2022,551,EXCEL,2,3,Yes,E
12/23/2022,552,AORTA,3,2,Yes,A
12/24/2022,553,POISE,3,2,No,P
12/25/2022,554,EXTRA,2,3,No,E
12/26/2022,555,JUDGE,2,3,No,J
12/27/2022,556,CONDO,2,3,Yes,C
12/28/2022,557,IMPEL,2,3,No,I
12/29/2022,558,HAVOC,2,3,No,H
12/30/2022,559,MOLAR,2,3,No,M
12/31/2022,560,MANLY,1,4,No,M
1/1/2023,561,WHINE,2,3,No,W
1/2/2023,562,SKIRT,1,4,No,S
1/3/2023,563,ANTIC,2,3,No,A
1/4/2023,564,LAYER,2,3,No,L
1/5/2023,565,SLEEK,2,3,Yes,S
1/6/2023,566,BELIE,3,2,Yes,B
1/7/2023,567,LEMON,2,3,No,L
1/8/2023,568,OPERA,3,2,No,O
1/9/2023,569,PIXIE,3,2,Yes,P
1/10/2023,570,GRIMY,1,4,No,G
1/11/2023,571,SEDAN,2,3,No,S
1/12/2023,572,LEAPT,2,3,No,L
1/13/2023,573,HUMAN,2,3,No,H
1/14/2023,574,KOALA,3,2,Yes,K
1/15/2023,575,SPIRE,2,3,No,S
1/16/2023,576,FROCK,1,4,No,F
1/17/2023,577,ADOPT,2,3,No,A
1/18/2023,578,CHARD,1,4,No,C
1/19/2023,579,MUCKY,1,4,No,M
1/20/2023,580,ALTER,2,3,No,A
1/21/2023,581,BLURB,1,4,Yes,B
1/22/2023,582,MATEY,2,3,No,M
1/23/2023,583,ELUDE,3,2,Yes,E
1/24/2023,584,COUNT,2,3,No,C
1/25/2023,585,MAIZE,3,2,No,M
1/26/2023,586,BEEFY,2,3,Yes,B
1/27/2023,587,WORRY,1,4,Yes,W
1/28/2023,588,FLIRT,1,4,No,F
1/29/2023,589,FISHY,1,4,No,F
1/30/2023,590,CRAVE,2,3,No,C
1/31/2023,591,CROSS,1,4,Yes,C
2/1/2023,592,SCOLD,1,4,No,S
2/2/2023,593,SHIRK,1,4,No,S
2/3/2023,594,TASTY,1,4,Yes,T
2/4/2023,595,UNLIT,2,3,No,U
2/5/2023,596,DANCE,2,3,No,D
2/6/2023,597,NINTH,1,4,Yes,N
2/7/2023,598,APPLE,2,3,Yes,A
2/8/2023,599,FLAIL,2,3,Yes,F
2/9/2023,600,STAGE,2,3,No,S
2/10/2023,601,HEADY,2,3,No,H
2/11/2023,602,DEBUG,2,3,No,D
2/12/2023,603,GIANT,2,3,No,G
2/13/2023,604,USAGE,3,2,No,U
2/14/2023,605,SOUND,2,3,No,S
